"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Canada","2016A000011124","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062809","1.1.1.1.1.1","29247.4","","","","1"
"2016-02","Canada","2016A000011124","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062810","1.2.1.1.1.1","19335.7","","","","1"
"2016-02","Canada","2016A000011124","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062811","1.3.1.1.1.1","17929.6","","","","1"
"2016-02","Canada","2016A000011124","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062812","1.4.1.1.1.1","14493.4","","","","1"
"2016-02","Canada","2016A000011124","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062813","1.5.1.1.1.1","3436.2","","","","1"
"2016-02","Canada","2016A000011124","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062814","1.6.1.1.1.1","1406.1","","","","1"
"2016-02","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062815","1.7.1.1.1.1","7.3","","","","1"
"2016-02","Canada","2016A000011124","Participation rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062816","1.8.1.1.1.1","66.1","","","","1"
"2016-02","Canada","2016A000011124","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062817","1.9.1.1.1.1","61.3","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062998","2.1.1.1.1.1","447.5","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062999","2.2.1.1.1.1","274.3","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063000","2.3.1.1.1.1","234.8","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063001","2.4.1.1.1.1","196.2","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063002","2.5.1.1.1.1","38.6","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063003","2.6.1.1.1.1","39.5","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063004","2.7.1.1.1.1","14.4","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Participation rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063005","2.8.1.1.1.1","61.3","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063006","2.9.1.1.1.1","52.5","","","","1"
"2016-02","Prince Edward Island","2016A000211","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063187","3.1.1.1.1.1","120.4","","","","1"
"2016-02","Prince Edward Island","2016A000211","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063188","3.2.1.1.1.1","81.8","","","","1"
"2016-02","Prince Edward Island","2016A000211","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063189","3.3.1.1.1.1","73.0","","","","1"
"2016-02","Prince Edward Island","2016A000211","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063190","3.4.1.1.1.1","61.2","","","","1"
"2016-02","Prince Edward Island","2016A000211","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063191","3.5.1.1.1.1","11.9","","","","1"
"2016-02","Prince Edward Island","2016A000211","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063192","3.6.1.1.1.1","8.7","","","","1"
"2016-02","Prince Edward Island","2016A000211","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063193","3.7.1.1.1.1","10.6","","","","1"
"2016-02","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063194","3.8.1.1.1.1","67.9","","","","1"
"2016-02","Prince Edward Island","2016A000211","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063195","3.9.1.1.1.1","60.6","","","","1"
"2016-02","Nova Scotia","2016A000212","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063376","4.1.1.1.1.1","779.3","","","","1"
"2016-02","Nova Scotia","2016A000212","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063377","4.2.1.1.1.1","485.4","","","","1"
"2016-02","Nova Scotia","2016A000212","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063378","4.3.1.1.1.1","441.3","","","","1"
"2016-02","Nova Scotia","2016A000212","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063379","4.4.1.1.1.1","361.7","","","","1"
"2016-02","Nova Scotia","2016A000212","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063380","4.5.1.1.1.1","79.5","","","","1"
"2016-02","Nova Scotia","2016A000212","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063381","4.6.1.1.1.1","44.1","","","","1"
"2016-02","Nova Scotia","2016A000212","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063382","4.7.1.1.1.1","9.1","","","","1"
"2016-02","Nova Scotia","2016A000212","Participation rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063383","4.8.1.1.1.1","62.3","","","","1"
"2016-02","Nova Scotia","2016A000212","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063384","4.9.1.1.1.1","56.6","","","","1"
"2016-02","New Brunswick","2016A000213","Population","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063565","5.1.1.1.1.1","629.0","","","","1"
"2016-02","New Brunswick","2016A000213","Labour force","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063566","5.2.1.1.1.1","391.4","","","","1"
"2016-02","New Brunswick","2016A000213","Employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063567","5.3.1.1.1.1","351.7","","","","1"
"2016-02","New Brunswick","2016A000213","Full-time employment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063568","5.4.1.1.1.1","295.4","","","","1"
"2016-02","New Brunswick","2016A000213","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063569","5.5.1.1.1.1","56.3","","","","1"
"2016-02","New Brunswick","2016A000213","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063570","5.6.1.1.1.1","39.7","","","","1"
