"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Nova Scotia","2016A000212","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063486","4.3.1.5.1.1","440.3","","","","1"
"2024-01","Nova Scotia","2016A000212","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063487","4.4.1.5.1.1","379.2","","","","1"
"2024-01","Nova Scotia","2016A000212","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063488","4.5.1.5.1.1","61.1","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063489","4.6.1.5.1.1","27.4","","","","1"
"2024-01","Nova Scotia","2016A000212","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063490","4.7.1.5.1.1","5.9","","","","1"
"2024-01","Nova Scotia","2016A000212","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063491","4.8.1.5.1.1","61.6","","","","1"
"2024-01","Nova Scotia","2016A000212","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063492","4.9.1.5.1.1","58.0","","","","1"
"2024-01","New Brunswick","2016A000213","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063673","5.1.1.5.1.1","603.7","","","","1"
"2024-01","New Brunswick","2016A000213","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063674","5.2.1.5.1.1","362.0","","","","1"
"2024-01","New Brunswick","2016A000213","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063675","5.3.1.5.1.1","340.1","","","","1"
"2024-01","New Brunswick","2016A000213","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063676","5.4.1.5.1.1","302.1","","","","1"
"2024-01","New Brunswick","2016A000213","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063677","5.5.1.5.1.1","38.1","","","","1"
"2024-01","New Brunswick","2016A000213","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063678","5.6.1.5.1.1","21.9","","","","1"
"2024-01","New Brunswick","2016A000213","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063679","5.7.1.5.1.1","6.0","","","","1"
"2024-01","New Brunswick","2016A000213","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063680","5.8.1.5.1.1","60.0","","","","1"
"2024-01","New Brunswick","2016A000213","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063681","5.9.1.5.1.1","56.3","","","","1"
"2024-01","Quebec","2016A000224","Population","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063862","6.1.1.5.1.1","6387.1","","","","1"
"2024-01","Quebec","2016A000224","Labour force","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063863","6.2.1.5.1.1","4071.2","","","","1"
"2024-01","Quebec","2016A000224","Employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063864","6.3.1.5.1.1","3911.7","","","","1"
"2024-01","Quebec","2016A000224","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063865","6.4.1.5.1.1","3409.3","","","","1"
"2024-01","Quebec","2016A000224","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063866","6.5.1.5.1.1","502.4","","","","1"
