"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","46510","","","","0"
"2019","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","47206","","","","0"
"2020","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","46202","","","","0"
"2021","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","49463","","","","0"
"2022","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","51038","","","","0"
"2023","Nova Scotia","2016A000212","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787575","4.1.1","52131","","","","0"
"1981","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","13998","","","","0"
"1982","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","13778","","","","0"
"1983","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","14351","","","","0"
"1984","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","15175","","","","0"
"1985","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","15822","","","","0"
"1986","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","16300","","","","0"
"1987","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","16790","","","","0"
"1988","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17272","","","","0"
"1989","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17572","","","","0"
"1990","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17674","","","","0"
"1991","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17232","","","","0"
"1992","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17586","","","","0"
"1993","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","17875","","","","0"
"1994","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","18201","","","","0"
"1995","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","18505","","","","0"
"1996","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","18938","","","","0"
"1997","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","19569","","","","0"
"1998","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","20140","","","","0"
"1999","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","20955","","","","0"
"2000","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","21490","","","","0"
"2001","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","21716","","","","0"
"2002","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","22610","","","","0"
"2003","Nova Scotia","2016A000212","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787576","4.1.2","23134","","","","0"
