"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","208764","","","","0"
"2021","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","218392","","","","0"
"2022","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","224920","","","","0"
"2023","Alberta","2016A000248","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788277","10.1.1","232541","","","","0"
"1981","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","49421","","","","0"
"1982","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","48922","","","","0"
"1983","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","49051","","","","0"
"1984","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","49488","","","","0"
"1985","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","52267","","","","0"
"1986","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","52806","","","","0"
"1987","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","54011","","","","0"
"1988","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","55856","","","","0"
"1989","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","58133","","","","0"
"1990","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","59723","","","","0"
"1991","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","59054","","","","0"
"1992","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","59645","","","","0"
"1993","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","61392","","","","0"
"1994","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","63784","","","","0"
"1995","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","65202","","","","0"
"1996","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","67067","","","","0"
"1997","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","72035","","","","0"
"1998","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","74705","","","","0"
"1999","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","77277","","","","0"
"2000","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","81323","","","","0"
"2001","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","84425","","","","0"
"2002","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","88079","","","","0"
"2003","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","91003","","","","0"
"2004","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","95971","","","","0"
"2005","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","103450","","","","0"
"2006","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","112769","","","","0"
"2007","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","120296","","","","0"
"2008","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","123446","","","","0"
"2009","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","121880","","","","0"
"2010","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","126927","","","","0"
"2011","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","132063","","","","0"
"2012","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","137565","","","","0"
"2013","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","144369","","","","0"
"2014","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","149804","","","","0"
"2015","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","150554","","","","0"
"2016","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","150024","","","","0"
"2017","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","154356","","","","0"
"2018","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","157123","","","","0"
"2019","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","157750","","","","0"
"2020","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","147478","","","","0"
"2021","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","155758","","","","0"
"2022","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","160373","","","","0"
"2023","Alberta","2016A000248","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788278","10.1.2","165655","","","","0"
"1981","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","23172","","","","0"
"1982","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","22394","","","","0"
"1983","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","22379","","","","0"
"1984","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","22516","","","","0"
"1985","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","23630","","","","0"
"1986","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","23652","","","","0"
"1987","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","23665","","","","0"
"1988","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","24456","","","","0"
"1989","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","25113","","","","0"
"1990","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","25666","","","","0"
"1991","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","25215","","","","0"
"1992","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","25286","","","","0"
"1993","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","25977","","","","0"
"1994","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","26794","","","","0"
"1995","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","27159","","","","0"
"1996","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","28005","","","","0"
"1997","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","30234","","","","0"
"1998","Alberta","2016A000248","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62788279","10.1.3","31692","","","","0"
