"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3204","","","","0"
"2021","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3377","","","","0"
"2022","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3452","","","","0"
"2023","Yukon","2016A000260","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62788511","12.1.1","3469","","","","0"
"1981","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","509","","","","0"
"1982","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","488","","","","0"
"1983","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","463","","","","0"
"1984","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","523","","","","0"
"1985","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","527","","","","0"
"1986","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","539","","","","0"
"1987","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","564","","","","0"
"1988","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","593","","","","0"
"1989","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","629","","","","0"
"1990","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","634","","","","0"
"1991","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","643","","","","0"
"1992","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","666","","","","0"
"1993","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","674","","","","0"
"1994","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","680","","","","0"
"1995","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","699","","","","0"
"1996","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","701","","","","0"
"1997","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","726","","","","0"
"1998","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","742","","","","0"
"1999","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","760","","","","0"
"2000","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","796","","","","0"
"2001","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","818","","","","0"
"2002","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","847","","","","0"
"2003","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","895","","","","0"
"2004","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","925","","","","0"
"2005","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","954","","","","0"
"2006","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1007","","","","0"
"2007","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1063","","","","0"
"2008","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1111","","","","0"
"2009","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1137","","","","0"
"2010","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1198","","","","0"
"2011","Yukon","2016A000260","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62788512","12.1.2","1254","","","","0"
