REF_DATE,GEO,CPI,CPI_SCALAR,Gross domestic product at market prices,Gross fixed capital formation,GDP_SCALE,GCGF_SCALE,Year
2019,Quebec,131.7,units,442435.0,89936.0,millions,millions,2019
2020,Quebec,132.8,units,421445.0,89095.0,millions,millions,2020
2021,Quebec,137.8,units,452009.0,99335.0,millions,millions,2021
2022,Quebec,147.0,units,467245.0,97003.0,millions,millions,2022
2023,Quebec,153.6,units,470252.0,93397.0,millions,millions,2023
1981,Saskatchewan,49.5,units,39106.0,8544.0,millions,millions,1981
1982,Saskatchewan,54.0,units,38137.0,6980.0,millions,millions,1982
1983,Saskatchewan,57.4,units,39008.0,7636.0,millions,millions,1983
1984,Saskatchewan,59.8,units,40232.0,7578.0,millions,millions,1984
1985,Saskatchewan,62.0,units,41334.0,8116.0,millions,millions,1985
1986,Saskatchewan,63.7,units,43528.0,7535.0,millions,millions,1986
1987,Saskatchewan,66.8,units,43951.0,8186.0,millions,millions,1987
1988,Saskatchewan,69.8,units,42277.0,7982.0,millions,millions,1988
1989,Saskatchewan,72.9,units,42992.0,7280.0,millions,millions,1989
1990,Saskatchewan,76.0,units,46215.0,7498.0,millions,millions,1990
1991,Saskatchewan,80.0,units,46569.0,7798.0,millions,millions,1991
1992,Saskatchewan,80.8,units,44510.0,6973.0,millions,millions,1992
1993,Saskatchewan,83.3,units,47352.0,6992.0,millions,millions,1993
1994,Saskatchewan,84.8,units,49205.0,7616.0,millions,millions,1994
1995,Saskatchewan,86.4,units,49751.0,7973.0,millions,millions,1995
1996,Saskatchewan,88.1,units,51249.0,9070.0,millions,millions,1996
1997,Saskatchewan,89.2,units,53452.0,11949.0,millions,millions,1997
1998,Saskatchewan,90.4,units,55761.0,10599.0,millions,millions,1998
1999,Saskatchewan,92.0,units,55821.0,10781.0,millions,millions,1999
2000,Saskatchewan,94.4,units,57274.0,10755.0,millions,millions,2000
2001,Saskatchewan,97.2,units,56799.0,10752.0,millions,millions,2001
2002,Saskatchewan,100.0,units,56609.0,10206.0,millions,millions,2002
2003,Saskatchewan,102.3,units,59193.0,10930.0,millions,millions,2003
2004,Saskatchewan,104.6,units,62025.0,11097.0,millions,millions,2004
2005,Saskatchewan,106.9,units,63659.0,12936.0,millions,millions,2005
2006,Saskatchewan,109.1,units,62716.0,14424.0,millions,millions,2006
2007,Saskatchewan,112.2,units,65052.0,15503.0,millions,millions,2007
2008,Saskatchewan,115.9,units,68463.0,18143.0,millions,millions,2008
2009,Saskatchewan,117.1,units,64812.0,18029.0,millions,millions,2009
2010,Saskatchewan,118.7,units,67843.0,21026.0,millions,millions,2010
2011,Saskatchewan,122.0,units,71425.0,23087.0,millions,millions,2011
2012,Saskatchewan,123.9,units,72645.0,25195.0,millions,millions,2012
2013,Saskatchewan,125.7,units,77398.0,27176.0,millions,millions,2013
2014,Saskatchewan,128.7,units,78958.0,28200.0,millions,millions,2014
2015,Saskatchewan,130.8,units,78293.0,23945.0,millions,millions,2015
2016,Saskatchewan,132.2,units,78232.0,20825.0,millions,millions,2016
2017,Saskatchewan,134.4,units,80257.0,21694.0,millions,millions,2017
2018,Saskatchewan,137.5,units,81590.0,21212.0,millions,millions,2018
2019,Saskatchewan,139.9,units,81221.0,19286.0,millions,millions,2019
2020,Saskatchewan,140.7,units,77761.0,16374.0,millions,millions,2020
2021,Saskatchewan,144.4,units,75722.0,16716.0,millions,millions,2021
2022,Saskatchewan,153.9,units,81201.0,17341.0,millions,millions,2022
2023,Saskatchewan,160.0,units,83105.0,18614.0,millions,millions,2023
