"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","57","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","63","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","64","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62788748","14.1.4","63","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","76","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","75","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","80","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","81","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","87","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","94","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","96","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","107","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","128","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","121","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62788749","14.1.5","128","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","229","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","231","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","240","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","240","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","246","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","244","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","244","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","249","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","251","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","246","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Non-durable goods","Dollars","81","millions","6","v62788750","14.1.6","242","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","427","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","441","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","450","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","457","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","461","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","464","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","469","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","447","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","467","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","487","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Services","Dollars","81","millions","6","v62788751","14.1.7","498","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","62","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","51","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","54","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","58","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","57","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","63","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","62","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","75","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","81","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","86","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62788752","14.1.8","90","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","1680","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","1695","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","1812","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","1827","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","1895","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2066","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2029","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2071","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2229","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2211","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","General governments final consumption expenditure","Dollars","81","millions","6","v62788753","14.1.9","2250","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1303","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1008","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1045","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1075","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1552","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","2003","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1832","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1064","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1240","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1257","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Gross fixed capital formation","Dollars","81","millions","6","v62788754","14.1.10","1431","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1078","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","711","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","731","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","742","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1196","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1647","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1443","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","842","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","975","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1055","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Business gross fixed capital formation","Dollars","81","millions","6","v62788755","14.1.11","1180","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","62","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","43","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","50","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","40","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","43","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","35","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","43","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","38","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","37","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","38","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Residential structures","Dollars","81","millions","6","v62788756","14.1.12","39","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","726","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","489","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","454","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","484","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","959","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","1451","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","1279","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","725","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","822","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","792","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62788757","14.1.13","934","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","527","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","373","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","324","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","382","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","710","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","986","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","941","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","553","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","561","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","553","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Non-residential structures","Dollars","81","millions","6","v62788758","14.1.14","742","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","200","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","115","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","130","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","101","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","249","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","465","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","338","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","172","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","263","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","240","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Machinery and equipment","Dollars","81","millions","6","v62788759","14.1.15","192","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","296","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","182","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","232","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","222","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","194","","","","0"
"2018","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","162","","","","0"
"2019","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","119","","","","0"
"2020","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","77","","","","0"
"2021","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","114","","","","0"
"2022","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","221","","","","0"
"2023","Nunavut","2016A000262","Chained (2017) dollars","Intellectual property products","Dollars","81","millions","6","v62788760","14.1.16","202","","","","0"
"2013","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62788761","14.1.17","2","","","","0"
"2014","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62788761","14.1.17","1","","","","0"
"2015","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62788761","14.1.17","1","","","","0"
"2016","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62788761","14.1.17","1","","","","0"
"2017","Nunavut","2016A000262","Chained (2017) dollars","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62788761","14.1.17","1","","","","0"
